"","date","hosp_for_covid","hosp_other_conditions","icu_for_covid","icu_other_conditions","deaths_total","death_covid","death_covid_contrib","death_unknown_missing","total_death_level"
"371","2023-01-15",0.3658,0.6342,0.5258,0.4742,11,9,2,0,2
"372","2023-01-16",0.3747,0.6253,0.5426,0.4574,10,7,3,0,1
"373","2023-01-17",0.3813,0.6187,0.5422,0.4578,10,6,4,0,1
"374","2023-01-18",0.3795,0.6205,0.6173,0.3827,16,12,4,0,2
"375","2023-01-19",0.3877,0.6123,0.5698,0.4302,9,5,4,0,1
"376","2023-01-20",0.3773,0.6227,0.5882,0.4118,9,7,2,0,1
"377","2023-01-21",0.3691,0.6309,0.5521,0.4479,4,2,2,0,1
"378","2023-01-22",0.3787,0.6213,0.5529,0.4471,9,8,1,0,1
"379","2023-01-23",0.392,0.608,0.557,0.443,7,6,1,0,1
"380","2023-01-24",0.3848,0.6152,0.5275,0.4725,10,6,4,0,1
"381","2023-01-25",0.3681,0.6319,0.5368,0.4632,11,9,2,0,2
"382","2023-01-26",0.3705,0.6295,0.5222,0.4778,13,6,6,1,2
"383","2023-01-27",0.3614,0.6386,0.5679,0.4321,8,6,2,0,1
"384","2023-01-28",0.3651,0.6349,0.5802,0.4198,6,5,1,0,1
"385","2023-01-29",0.3652,0.6348,0.5647,0.4353,12,6,5,1,2
"386","2023-01-30",0.3669,0.6331,0.5679,0.4321,5,4,1,0,1
"387","2023-01-31",0.3684,0.6316,0.5875,0.4125,10,7,3,0,1
"388","2023-02-01",0.3551,0.6449,0.5952,0.4048,11,7,4,0,2
"389","2023-02-02",0.3588,0.6412,0.6234,0.3766,3,2,1,0,1
"390","2023-02-03",0.3526,0.6474,0.6667,0.3333,3,1,2,0,1
"391","2023-02-04",0.3791,0.6209,0.6667,0.3333,9,6,2,1,1
"392","2023-02-05",0.3554,0.6446,0.5313,0.4688,5,3,1,1,1
"393","2023-02-06",0.3435,0.6565,0.5195,0.4805,14,9,4,1,2
"394","2023-02-07",0.3539,0.6461,0.5195,0.4805,5,4,1,0,1
"395","2023-02-08",0.3612,0.6388,0.4396,0.5604,5,5,0,0,1
"396","2023-02-09",0.3699,0.6301,0.4483,0.5517,3,1,2,0,1
"397","2023-02-10",0.371,0.629,0.4625,0.5375,11,5,6,0,2
"398","2023-02-11",0.3628,0.6372,0.4878,0.5122,5,2,3,0,1
"399","2023-02-12",0.3635,0.6365,0.439,0.561,5,2,2,1,1
"400","2023-02-13",0.3785,0.6215,0.5,0.5,2,2,0,0,1
"401","2023-02-14",0.3869,0.6131,0.4675,0.5325,2,2,0,0,1
"402","2023-02-15",0.3774,0.6226,0.4535,0.5465,9,6,2,1,1
"403","2023-02-16",0.3492,0.6508,0.4578,0.5422,4,2,2,0,1
"404","2023-02-17",0.3672,0.6328,0.4235,0.5765,8,3,5,0,1
"405","2023-02-18",0.3574,0.6426,0.4444,0.5556,3,2,0,1,1
"406","2023-02-19",0.345,0.655,0.5,0.5,2,2,0,0,1
"407","2023-02-20",0.3555,0.6445,0.5,0.5,8,5,3,0,1
"408","2023-02-21",0.385,0.615,0.525,0.475,6,3,2,1,1
"409","2023-02-22",0.3744,0.6256,0.5641,0.4359,4,2,2,0,1
"410","2023-02-23",0.3665,0.6335,0.5316,0.4684,9,6,3,0,1
"411","2023-02-24",0.3531,0.6469,0.5513,0.4487,6,5,1,0,1
"412","2023-02-25",0.3314,0.6686,0.5238,0.4762,3,2,1,0,1
"413","2023-02-26",0.3368,0.6632,0.5974,0.4026,4,4,0,0,1
"414","2023-02-27",0.3661,0.6339,0.5765,0.4235,2,2,0,0,1
"415","2023-02-28",0.3675,0.6325,0.5652,0.4348,2,2,0,0,1
"416","2023-03-01",0.3585,0.6415,0.5851,0.4149,3,0,1,2,1
"417","2023-03-02",0.375,0.625,0.6154,0.3846,0,0,0,0,1
